Imagen,Modelo,Marca,Historia,Imagen directa
https://ibb.co/JjmdGKsX,GAC Bicicleta de Carretera,GAC,"GAC (Gran Almacén de Ciclismo) fue una de las marcas de ciclismo más populares de España durante los años 60 y 70. Sus bicicletas de carretera, pintadas en el icónico azul metálico, equiparon a miles de aficionados españoles al ciclismo. Con cuadro de acero cromado y componentes de calidad, la GAC de carretera representó el sueño ciclista de toda una generación de corredores amateur.",https://i.ibb.co/PGFYPN6B/foto.png
https://ibb.co/XwMjYZF,Orbea de Carretera Clásica,Orbea,"Orbea, fundada en 1840 en el País Vasco, es la marca de bicicletas más antigua de España. Esta bicicleta de carretera clásica en azul celeste con rayas del arcoíris del campeonato del mundo representa la época dorada del ciclismo español de los años 70-80. Con componentes Campagnolo y acabados de alta calidad, fue la montura elegida por muchos corredores de la época.",https://i.ibb.co/mxgbNCh/foto1.png
https://ibb.co/TxYDdJG3,BH de Carretera Clásica,BH (Beistegui Hermanos),"BH Bicicletas, fundada en 1909 en Éibar (País Vasco), es sinónimo de calidad artesanal española. Esta elegante bicicleta negra con detalles dorados y sillín de cuero marrón evoca el ciclismo más distinguido de posguerra. Con guardabarros cromados y manillar de cuero, representa la fusión perfecta entre funcionalidad y estética que caracterizó a BH durante décadas.",https://i.ibb.co/JwmWg8TJ/foto2.png
https://ibb.co/nMsskqNV,Derbi de Carretera,Derbi (Rabasa),"Derbi, nacida de los talleres Rabasa en Barcelona en los años 40, trasladó su espíritu de competición de las motos a las bicicletas. Esta deslumbrante bici roja y blanca fue el orgullo de los ciclistas españoles de los años 70-80. Ligera, ágil y con una estética deportiva inconfundible, la Derbi de carretera compitió con las mejores marcas europeas de la época.",https://i.ibb.co/3myyh598/foto4.png
https://ibb.co/Kp7yRSVS,Torrot BMX Infantil,Torrot,Torrot fue una marca valenciana que conquistó los corazones de los niños españoles en los años 80 con sus bicicletas BMX. Esta pequeña joya azul metálico con decoración de cuadros de carreras fue el regalo soñado de miles de chavales. La Torrot infantil introdujo a toda una generación en el mundo del BMX durante la fiebre de E.T. el extraterrestre.,https://i.ibb.co/S40vWGVG/foto5.png
https://ibb.co/jPSW0FbR,Monty BMX Competición,Monty,"Desde 1983, Monty se convirtió en la gran pionera del BMX español. Fundada en Barcelona, sus bicicletas de competición plateadas con detalles rojos dominaron las pistas de tierra de España. Con el lema 'Espíritu de competición', Monty formó a una generación de riders y fue la alternativa nacional de calidad a las marcas americanas.",https://i.ibb.co/fzsn67qv/foto6.png
https://ibb.co/DHL0WVCV,BH Gacela,BH (Beistegui Hermanos),"La BH Gacela es uno de los iconos del ciclismo urbano femenino español. Lanzada en los años 60, esta elegante bicicleta rosa fue la compañera de viaje de miles de mujeres españolas. Con su diseño de cuadro bajo, cómodo sillín con muelles y faro delantero cromado, la Gacela combinó elegancia y practicidad como ninguna otra.",https://i.ibb.co/wFY5g0W0/foto7.png
https://ibb.co/LzLrNYCJ,GAC Motoreta,GAC,"La GAC Motoreta es todo un símbolo de los años 70 en España. Con su inconfundible sillín alargado tipo banana, manillar elevado y aspecto de moto miniatura, fue el vehículo más deseado por los niños de la época. Disponible en el característico azul metálico, la Motoreta representaba la libertad y la modernidad. Hoy es una pieza de coleccionista muy cotizada.",https://i.ibb.co/0jgKsmfF/foto8.png
https://ibb.co/qYBTq0vq,BH Bicicross,BH (Beistegui Hermanos),"La BH Bicicross fue uno de los fenómenos del ciclismo juvenil español de los años 80. Con su cuadro cromado brillante, ruedas de radios de plástico azul y protectores de espuma, esta BMX española compitió con las marcas americanas. Fue muy famosa en los 80 y se convirtió en el objeto de deseo de toda una generación que soñaba con hacer piruetas al estilo americano.",https://i.ibb.co/jkhn0VS0/foto9.png
https://ibb.co/ZR3GdfV8,Derbi Rabasa Panther,Derbi (Rabasa),"La Derbi Rabasa Panther fue una de las BMX más llamativas del mercado español de los 80. Con su frame negro con franjas rojas y moradas, ruedas blancas y el icono de la pantera negra, transmitía fuerza y personalidad. Bajo el lema 'Estilo deportivo, espíritu juvenil', fue la elección de los jóvenes más atrevidos en las pistas.",https://i.ibb.co/Xf9jXWbs/foto10.png
